\hline
cycletimes & error & ratio
1 & 0.707978\\ \hline
2 & 0.300924& 2.35268\\ \hline
3 & 0.0818& 3.67878\\ \hline
4 & 0.0183337& 4.46172\\ \hline
5 & 0.00373768& 4.9051\\ \hline
6 & 0.000722854& 5.17073\\ \hline
7 & 0.000135525& 5.33371\\ \hline
8 & 2.49428e-05& 5.43345\\ \hline
9 & 4.54123e-06& 5.49252\\ \hline
10 & 8.21984e-07& 5.52472\\ \hline
11 & 1.52312e-07& 5.39671\\ \hline
12 & 2.86672e-08& 5.31311\\ \hline
13 & 5.40008e-09& 5.30867\\ \hline
14 & 1.01854e-09& 5.30178\\ \hline
15 & 1.92398e-10& 5.29392\\ \hline
16 & 3.64145e-11& 5.28355\\ \hline
17 & 7.62115e-12& 4.77809\\ \hline
18 & 5.0182e-12& 1.5187\\ \hline
19 & 5.43848e-12& 0.92272\\ \hline
20 & 5.17313e-12& 1.05129\\ \hline
21 & 5.274e-12& 0.980875\\ \hline
22 & 4.90822e-12& 1.07452\\ \hline
23 & 5.32421e-12& 0.921868\\ \hline
24 & 5.04089e-12& 1.0562\\ \hline
25 & 5.99784e-12& 0.840451\\ \hline
26 & 5.19706e-12& 1.15408\\ \hline
27 & 5.01031e-12& 1.03727\\ \hline
28 & 5.52962e-12& 0.906086\\ \hline
29 & 6.1838e-12& 0.894211\\ \hline
30 & 5.51131e-12& 1.12202\\ \hline
31 & 4.76897e-12& 1.15566\\ \hline
32 & 5.47739e-12& 0.870664\\ \hline
