\hline
cycletimes & error & ratio
1 & 0.0666667\\ \hline
2 & 0.0113083& 5.89538\\ \hline
3 & 0.00181021& 6.24694\\ \hline
4 & 0.000290041& 6.24125\\ \hline
5 & 4.69729e-05& 6.17463\\ \hline
6 & 7.69876e-06& 6.10136\\ \hline
7 & 1.2759e-06& 6.034\\ \hline
8 & 2.13554e-07& 5.97458\\ \hline
9 & 3.76981e-08& 5.66486\\ \hline
10 & 6.78485e-09& 5.55621\\ \hline
11 & 1.22564e-09& 5.53578\\ \hline
12 & 2.22297e-10& 5.51351\\ \hline
13 & 4.04851e-11& 5.49083\\ \hline
14 & 7.40307e-12& 5.46869\\ \hline
15 & 1.35906e-12& 5.44721\\ \hline
16 & 2.50262e-13& 5.43054\\ \hline
17 & 4.63827e-14& 5.39559\\ \hline
18 & 8.66984e-15& 5.34989\\ \hline
19 & 1.58671e-15& 5.46402\\ \hline
20 & 6.0427e-16& 2.62583\\ \hline
21 & 7.283e-16& 0.8297\\ \hline
22 & 6.14868e-16& 1.18448\\ \hline
23 & 7.16439e-16& 0.858228\\ \hline
24 & 7.16439e-16& 1\\ \hline
25 & 7.16439e-16& 1\\ \hline
26 & 5.4544e-16& 1.31351\\ \hline
27 & 6.06313e-16& 0.899602\\ \hline
28 & 6.14868e-16& 0.986087\\ \hline
29 & 7.16439e-16& 0.858228\\ \hline
30 & 7.16439e-16& 1\\ \hline
31 & 7.16439e-16& 1\\ \hline
32 & 5.4544e-16& 1.31351\\ \hline
